"","Name","Total"
"1018","Ivanna",999
"1019","Jessa",998
"1020","Nash",996
"1021","Annika",994
"1022","Chandler",994
"1023","Maisie",994
"1024","Kenzie",993
"1025","Lennox",992
"1026","Wren",992
"1027","Kaelyn",991
"1028","Killian",991
"1029","Melina",991
"1030","Tenley",991
"1031","Angie",990
"1032","Brinley",987
"1033","Aspen",983
"1034","Emanuel",982
"1035","Ainsley",980
"1036","Erin",979
"1037","Jaelyn",976
"1038","Allen",974
"1039","Angelique",974
"1040","Lilyana",972
"1041","Shawn",972
"1042","Grady",969
"1043","Shiloh",969
"1044","Mikaela",968
"1045","Kimber",964
"1046","Guadalupe",962
"1047","Alena",961
"1048","Tiana",956
"1049","Joy",953
"1050","Juniper",952
"1051","Remy",948
"1052","Cadence",943
"1053","Miah",943
"1054","Emmy",942
"1055","Kadence",941
"1056","Jaelynn",935
"1057","Chelsea",934
"1058","Beckham",933
"1059","Nehemiah",930
"1060","Aniya",927
"1061","Jessie",924
"1062","Emilee",922
"1063","Jolene",922
"1064","Elliot",921
"1065","Alia",920
"1066","Siena",920
"1067","Sloan",919
"1068","Leona",918
"1069","Porter",915
"1070","Kori",914
"1071","Alaia",913
"1072","Elaine",912
"1073","Lorelai",911
"1074","Rosa",911
"1075","Karsyn",905
"1076","Orion",903
"1077","Emory",901
"1078","Zuri",899
"1079","Jamie",898
"1080","Jemma",896
"1081","Irene",895
"1082","Kamden",894
"1083","Kora",894
"1084","Cade",892
"1085","Elliott",892
"1086","Kaydence",891
"1087","Nathalie",889
"1088","Aden",888
"1089","Adele",885
"1090","Amelie",883
"1091","Rory",883
"1092","Kendrick",882
"1093","Legend",880
"1094","Clark",879
"1095","Saige",878
"1096","Armani",876
"1097","Milani",876
"1098","Ansley",873
"1099","Addilynn",872
"1100","Kelsey",871
"1101","Miracle",869
"1102","Annabel",867
"1103","Lylah",864
"1104","Aitana",863
"1105","Chanel",862
"1106","Leland",862
"1107","Zelda",862
"1108","Teresa",861
"1109","Kenna",860
"1110","Linda",859
"1111","Clarissa",858
"1112","Kash",858
"1113","Marina",858
"1114","Myah",856
"1115","Collins",855
"1116","Leslie",855
"1117","Elyse",853
"1118","Sutton",853
"1119","Ivory",852
"1120","Royal",850
"1121","Perla",849
"1122","Ellen",848
"1123","Skye",847
"1124","Dorothy",844
"1125","Esme",844
"1126","Aliza",843
"1127","Carmen",843
"1128","Meadow",843
"1129","Zahra",843
"1130","Hadassah",842
"1131","Casey",840
"1132","Jensen",840
"1133","Kade",840
"1134","Avah",837
"1135","Jaycee",836
"1136","Lindsey",836
"1137","Kiera",835
"1138","Reyna",834
"1139","Ariya",832
"1140","Laylah",832
"1141","Celine",831
"1142","Gunnar",830
"1143","Malaya",830
"1144","Mckinley",828
"1145","Tatiana",828
"1146","Jayden",826
"1147","Laurel",824
"1148","Amirah",823
"1149","Kason",823
"1150","Rayna",823
"1151","Elisabeth",820
"1152","Adley",819
"1153","Braylon",819
"1154","Whitney",819
"1155","Kaylin",817
"1156","Julieta",816
"1157","Karter",814
"1158","Milana",814
"1159","Cheyenne",813
"1160","Natasha",812
"1161","Kenia",811
"1162","Lilianna",811
"1163","Braelynn",810
"1164","Monroe",810
"1165","Dulce",809
"1166","Laney",808
"1167","Liv",808
"1168","Bria",806
"1169","Harlow",805
"1170","Ophelia",805
"1171","Alma",803
"1172","Jay",803
"1173","Mara",803
"1174","Jolie",802
"1175","Lailah",801
"1176","Kynlee",800
"1177","Royalty",800
"1178","Joselyn",799
"1179","Kenley",799
"1180","Lea",799
"1181","Eileen",797
"1182","Alaya",794
"1183","Audrina",793
"1184","Averie",793
"1185","Harlee",793
"1186","Adan",791
"1187","Braylen",789
"1188","Livia",789
"1189","Montserrat",789
"1190","Kailyn",788
"1191","Penny",788
"1192","Amiya",786
"1193","Breanna",785
"1194","Kellan",783
"1195","Aurelia",782
"1196","Jaylene",782
"1197","Milan",782
"1198","Amani",780
"1199","Clare",780
"1200","Lexie",780
"1201","Milena",777
"1202","Chaya",775
"1203","Karlee",773
"1204","Keyla",773
"1205","Lennox",773
"1206","Theo",773
"1207","Alyson",772
"1208","Scarlette",772
"1209","Zariyah",771
"1210","Corey",770
"1211","Finnegan",770
"1212","Erika",769
"1213","Madalynn",768
"1214","Aylin",767
"1215","Saylor",764
"1216","Erica",762
"1217","Jayde",762
"1218","Kalani",762
"1219","Leyla",759
"1220","Kinslee",758
"1221","Noa",757
"1222","Tate",757
"1223","Wynter",757
"1224","Aliana",756
"1225","Hendrix",755
"1226","Rosie",755
"1227","Aryanna",754
"1228","Averi",754
"1229","Ariadne",753
"1230","Claudia",749
"1231","Landyn",749
"1232","Mina",748
"1233","Gwen",747
"1234","Martha",745
"1235","Ace",743
"1236","Christine",743
"1237","Sullivan",743
"1238","Emerie",741
"1239","Aubrielle",740
"1240","Corinne",739
"1241","Kallie",738
"1242","Caitlyn",737
"1243","Hadlee",737
"1244","Emmalynn",736
"1245","Salma",736
"1246","Cara",735
"1247","Shiloh",733
"1248","Amaris",732
"1249","Arely",730
"1250","Sky",729
"1251","Anabelle",728
"1252","Jaylee",728
"1253","Patricia",727
"1254","Danny",726
"1255","Remy",726
"1256","Kassandra",725
"1257","Lawson",725
"1258","Roselyn",725
"1259","Sterling",725
"1260","Jayleen",723
"1261","Carolyn",722
"1262","Frances",722
"1263","Jamison",722
"1264","Leanna",722
"1265","Noemi",722
"1266","Brennan",721
"1267","Danica",721
"1268","Azariah",720
"1269","Clementine",720
"1270","Marlee",720
"1271","Lara",719
"1272","Paola",719
"1273","Braelyn",718
"1274","Courtney",717
"1275","Dillon",717
"1276","Emory",717
"1277","Joyce",717
"1278","Lisa",715
"1279","Nola",715
"1280","Isabela",713
